id;proper;con;mag;dist;spect;ci;lum;x;y;z
23398;Saclateni;Aur;3.69;240.9639;K4II comp;1.154;1690.440931643265;45.114162;175.957014;158.327189
17809;Pleione;Tau;5.05;117.096;B7p;-0.082;114.07750129221203;57.734463;89.91922;47.882552
18567;Menkib;Per;3.98;381.6794;O7.5Iab:;0.016;3244.890156605363;156.01015;267.421217;223.218208
10440;;Hor;8.85;100000.0;M0III;1.57;2511886.4315095823;41764.3792;27879.628535;-86478.106726
111359;Situla;Aqr;5.04;65.5738;K2III;1.14;36.10771451003529;61.229681;-22.967064;-4.834534
53369;Aiolos;Car;7.36;90.4159;A8III;0.23;8.098414473257884;-31.65874;8.921182;-84.220969
62030;La Superba;CVn;5.42;320.5128;C7Iab;2.994;607.5751461057412;-220.542536;-43.99915;228.371602
64904;Kulou;Cen;2.75;18.0213;A2V;0.068;22.46984103640156;-13.562569;-4.976416;-10.773082
42794;Alsephina;Vel;1.93;24.6975;A1V;0.043;89.78421709097269;-9.394033;10.739813;-20.158771
56339;Formosa;Leo;6.45;122.2494;G9III;1.01;34.22945623160411;-113.87372;12.439743;42.695774
40411;Tarf;Cnc;3.53;93.0233;K4III;1.481;291.87708481971424;-51.522087;76.015371;14.84954
30832;Lusitânia;Mon;8.1;34.3525;K5;0.846;0.5915616341754738;-4.288647;33.455125;6.515853
26229;;Ori;8.65;100000.0;B9;-0.037;3019951.720402019;10320.991336;98077.849527;16559.365027
96970;Tarazed;Aql;2.72;121.0654;K3II;1.507;1042.3174293933046;53.215608;-106.431852;22.297682
112152;;Lac;7.95;100000.0;B9;0.074;5754399.373371567;65761.746471;-21556.114961;72185.362844
8867;Segin;Cas;3.35;126.2626;B2pvar;-0.15;634.453795775715;49.169644;26.806887;113.163436
23361;Almaaz;Aur;3.03;653.5948;F0Ia;0.537;22845.46488551825;118.129799;456.518488;452.57303
